Date	Open Balances
1/1/2022	1,963
2/1/2022	2,431
3/1/2022	2,934
4/1/2022	3,146
5/1/2022	3,368
6/1/2022	3,159
7/1/2022	2,892
8/1/2022	2,733
9/1/2022	3,068
10/1/2022	3,394
11/1/2022	3,394
12/1/2022	3,394
13/1/2022	2,764
14/1/2022	2,545
15/1/2022	2,139
16/1/2022	2,454
17/1/2022	2,722
18/1/2022	2,774
19/1/2022	2,459
20/1/2022	2,292
21/1/2022	2,292
22/1/2022	2,292
23/1/2022	2,292
24/1/2022	2,292
25/1/2022	2,292
26/1/2022	2,292
27/1/2022	2,292
28/1/2022	2,292
29/1/2022	2,292
30/1/2022	2,292
31/1/2022	2,292
1/2/2022	2,292
2/2/2022	2,292
3/2/2022	2,292
4/2/2022	2,292
5/2/2022	2,292
6/2/2022	2,292
7/2/2022	2,292
8/2/2022	2,292
9/2/2022	2,292
10/2/2022	2,292
11/2/2022	2,292
12/2/2022	2,292
13/2/2022	2,292
14/2/2022	2,292
15/2/2022	2,292
16/2/2022	2,292
17/2/2022	2,292
18/2/2022	2,292
19/2/2022	2,292
20/2/2022	2,292
21/2/2022	2,292
22/2/2022	2,292
23/2/2022	2,292
24/2/2022	2,292
25/2/2022	2,292
26/2/2022	2,292
27/2/2022	2,292
28/2/2022	2,292
1/3/2022	2,292
2/3/2022	2,292
3/3/2022	2,292
4/3/2022	2,292
5/3/2022	2,292
6/3/2022	2,292
7/3/2022	2,292
8/3/2022	2,292
9/3/2022	2,292
10/3/2022	2,292
11/3/2022	2,292
12/3/2022	2,292
13/3/2022	2,292
14/3/2022	2,292
15/3/2022	2,292
16/3/2022	2,292
17/3/2022	2,292
18/3/2022	2,292
19/3/2022	2,292
20/3/2022	2,292
21/3/2022	2,292
22/3/2022	2,292
23/3/2022	2,292
24/3/2022	2,292
25/3/2022	2,292
26/3/2022	2,292
27/3/2022	2,292
28/3/2022	2,292
29/3/2022	2,292
30/3/2022	2,292
31/3/2022	2,292
1/4/2022	2,292
2/4/2022	2,292
3/4/2022	2,292
4/4/2022	2,292
5/4/2022	2,292
6/4/2022	2,292
7/4/2022	2,292
8/4/2022	2,292
9/4/2022	2,292
10/4/2022	2,292
11/4/2022	2,292
12/4/2022	2,292
13/4/2022	2,292
14/4/2022	2,292
15/4/2022	2,292
16/4/2022	2,292
17/4/2022	2,292
18/4/2022	2,292
19/4/2022	2,292
20/4/2022	2,292
21/4/2022	2,292
22/4/2022	2,292
23/4/2022	2,292
24/4/2022	2,292
25/4/2022	2,292
26/4/2022	2,292
27/4/2022	2,292
28/4/2022	2,292
29/4/2022	2,292
30/4/2022	2,292
1/5/2022	2,292
2/5/2022	2,292
3/5/2022	2,292
4/5/2022	2,292
5/5/2022	2,292
6/5/2022	2,292
7/5/2022	2,292
8/5/2022	2,292
9/5/2022	2,292
10/5/2022	2,292
11/5/2022	2,292
12/5/2022	2,292
13/5/2022	2,292
14/5/2022	2,292
15/5/2022	2,292
16/5/2022	2,292
17/5/2022	2,292
18/5/2022	2,292
19/5/2022	2,292
20/5/2022	2,292
21/5/2022	2,292
22/5/2022	2,292
23/5/2022	2,292
24/5/2022	2,292
25/5/2022	2,292
26/5/2022	2,292
27/5/2022	2,292
28/5/2022	2,292
29/5/2022	2,292
30/5/2022	2,292
31/5/2022	2,292
1/6/2022	2,292
2/6/2022	2,292
3/6/2022	2,292
4/6/2022	2,292
5/6/2022	2,292
6/6/2022	2,292
7/6/2022	2,292
8/6/2022	2,292
9/6/2022	2,292
10/6/2022	2,292
11/6/2022	2,292
12/6/2022	2,292
13/6/2022	2,292
14/6/2022	2,292
15/6/2022	2,292
16/6/2022	2,292
17/6/2022	2,292
18/6/2022	2,292
19/6/2022	2,292
20/6/2022	2,292
21/6/2022	2,292
22/6/2022	2,292
23/6/2022	2,292
24/6/2022	2,292
25/6/2022	2,292
26/6/2022	2,292
27/6/2022	2,292
28/6/2022	2,292
29/6/2022	2,292
30/6/2022	2,292
1/7/2022	968
2/7/2022	968
3/7/2022	968
4/7/2022	968
5/7/2022	968
6/7/2022	968
7/7/2022	968
8/7/2022	968
9/7/2022	968
10/7/2022	968
11/7/2022	968
12/7/2022	968
13/7/2022	968
14/7/2022	968
15/7/2022	968
16/7/2022	968
17/7/2022	968
18/7/2022	968
19/7/2022	968
20/7/2022	968
21/7/2022	968
22/7/2022	968
23/7/2022	968
24/7/2022	968
25/7/2022	968
26/7/2022	968
27/7/2022	968
28/7/2022	968
29/7/2022	968
30/7/2022	968
31/7/2022	968
1/8/2022	968
2/8/2022	968
3/8/2022	968
4/8/2022	968
5/8/2022	968
6/8/2022	968
7/8/2022	968
8/8/2022	968
9/8/2022	968
10/8/2022	968
11/8/2022	968
12/8/2022	968
13/8/2022	968
14/8/2022	968
15/8/2022	968
16/8/2022	968
17/8/2022	968
18/8/2022	968
19/8/2022	968
20/8/2022	968
21/8/2022	968
22/8/2022	968
23/8/2022	968
24/8/2022	968
25/8/2022	968
26/8/2022	968
27/8/2022	968
28/8/2022	968
29/8/2022	968
30/8/2022	968
31/8/2022	968
1/9/2022	968
2/9/2022	968
3/9/2022	968
4/9/2022	968
5/9/2022	968
6/9/2022	968
7/9/2022	968
8/9/2022	968
9/9/2022	968
10/9/2022	968
11/9/2022	968
12/9/2022	968
13/9/2022	968
14/9/2022	968
15/9/2022	968
16/9/2022	968
17/9/2022	968
18/9/2022	968
19/9/2022	2,532
20/9/2022	2,398
21/9/2022	2,225
22/9/2022	2,205
23/9/2022	2,168
24/9/2022	2,068
25/9/2022	2,211
26/9/2022	2,353
27/9/2022	2,337
28/9/2022	2,304
29/9/2022	2,263
30/9/2022	2,275
1/10/2022	2,090
2/10/2022	2,307
3/10/2022	2,496
4/10/2022	2,626
5/10/2022	2,579
6/10/2022	2,431
7/10/2022	2,437
8/10/2022	2,162
9/10/2022	2,329
10/10/2022	2,694
11/10/2022	2,579
12/10/2022	2,555
13/10/2022	2,507
14/10/2022	2,406
15/10/2022	2,284
16/10/2022	2,460
17/10/2022	2,629
18/10/2022	2,630
19/10/2022	2,630
20/10/2022	2,630
21/10/2022	2,440
22/10/2022	2,155
23/10/2022	2,319
24/10/2022	2,473
25/10/2022	2,839
26/10/2022	2,825
27/10/2022	2,813
28/10/2022	2,840
29/10/2022	2,726
30/10/2022	2,932
31/10/2022	3,081
1/11/2022	2,977
2/11/2022	2,958
3/11/2022	2,866
4/11/2022	2,801
5/11/2022	2,809
6/11/2022	2,995
7/11/2022	3,097
8/11/2022	3,087
9/11/2022	3,025
10/11/2022	2,905
11/11/2022	2,833
12/11/2022	2,808
13/11/2022	2,989
14/11/2022	2,920
15/11/2022	3,013
16/11/2022	3,072
17/11/2022	3,133
18/11/2022	3,037
19/11/2022	3,027
20/11/2022	3,191
21/11/2022	3,228
22/11/2022	3,126
23/11/2022	2,964
24/11/2022	2,811
25/11/2022	2,740
26/11/2022	2,786
27/11/2022	2,918
28/11/2022	3,017
29/11/2022	2,901
30/11/2022	2,825
1/12/2022	2,819
2/12/2022	2,713
3/12/2022	2,799
4/12/2022	2,965
5/12/2022	3,060
6/12/2022	3,145
7/12/2022	3,038
8/12/2022	2,921
9/12/2022	2,972
10/12/2022	2,934
11/12/2022	3,112
12/12/2022	3,021
13/12/2022	3,181
14/12/2022	3,085
15/12/2022	2,956
16/12/2022	2,851
17/12/2022	2,624
18/12/2022	2,799
19/12/2022	2,970
20/12/2022	2,955
21/12/2022	2,862
22/12/2022	2,772
23/12/2022	2,807
24/12/2022	2,747
25/12/2022	2,925
26/12/2022	3,035
27/12/2022	3,215
28/12/2022	3,055
29/12/2022	2,965
30/12/2022	2,945
31/12/2022	3,134
1/1/2023	3,315
2/1/2023	3,655
3/1/2023	4,229
4/1/2023	4,348
5/1/2023	4,621
6/1/2023	4,762
7/1/2023	4,921
8/1/2023	4,821
9/1/2023	4,466
10/1/2023	4,422
11/1/2023	3,959
12/1/2023	3,803
13/1/2023	3,745
14/1/2023	3,714
15/1/2023	3,670
16/1/2023	3,202
17/1/2023	3,204
18/1/2023	3,120
19/1/2023	2,659
20/1/2023	2,775
21/1/2023	2,482
22/1/2023	2,641
23/1/2023	2,735
24/1/2023	2,889
25/1/2023	3,095
26/1/2023	2,962
27/1/2023	2,946
28/1/2023	3,038
29/1/2023	3,281
30/1/2023	3,477
31/1/2023	3,477
1/2/2023	3,054
2/2/2023	3,282
3/2/2023	2,857
4/2/2023	2,807
5/2/2023	3,049
6/2/2023	3,145
7/2/2023	2,948
