		Forecast					V1					V2					10322	8670	1652							
Date	Open Balances	Closed	Avg discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Forecasted		14	7							
1/1/2022	1366	220		254	0.84	1963			468		1,963			468	2022			619	236							
2/1/2022	1400			254	0.84	2431			503		2,431			503												
3/1/2022	1653	630	80	732	0.84	2934	857	143	1212		2,934	857	143	1212			675									
4/1/2022	1676	630	80	732	0.84	3146	727	90	1039		3,146	727	90	1039												
5/1/2022	1698	630	80	732	0.84	3368	949	86	826		3,368	949	86	826				 								
6/1/2022	1720	630	80	732	0.84	3159	942	153	828		3,159	942	153	828												
7/1/2022	1742	630	80	732	0.84	2892	769	140	750		2,892	769	140	750												
8/1/2022	1764	160		254	0.16	2733			335		2,733			335												
9/1/2022	1858			254	0.16	3068			326		3,068			326												
10/1/2022	2112	630	80	732	0.84	3394	767	138	824		3,394	767	138	824												
11/1/2022	2134	630	80	732	0.84	3313	670	80	619		3,313	856	108	746												
12/1/2022	2156	630	80	732	0.84	3182	670	80	619		3,095	831	208	708												
13/1/2022	2178	630	80	732	0.84	3052	670	80	619		2,764	658	91	658												
14/1/2022	2200	630	80	732	0.84	2921	670	80	619		2,545	680	380	654												
15/1/2022	2222	220		254	0.16	2790			236		2,139	11		326												
16/1/2022	2256			254	0.16	3026			236		2,454			268												
17/1/2022	2510	630	80	732	0.84	3262	670	80	619		2,722	766	-157	661												
18/1/2022	2532	630	80	732	0.84	3131	670	80	619		2,774	772	243	700												
19/1/2022	2554	630	80	732	0.84	3001	670	80	619		2,459	750	206	789												
20/1/2022	2576	630	80	732	0.84	2870	670	80	619		2,292	786	86	691												
21/1/2022	2598	630	80	732	0.84	2739	670	80	619		2,111	651	275	606												
22/1/2022	2621	160		254	0.16	2609			236		1,791			276												
23/1/2022	2714			254	0.16	2845			236		2,067			230												
24/1/2022	2968	630	80	732	0.84	3081	670	80	619		2,297	675	128	589												
25/1/2022	2990	630	80	732	0.84	2950	670	80	619		2,083	770	-3	607												
26/1/2022	3012	630	80	732	0.84	2819	670	80	619		1,923	883	364	571												
27/1/2022	3034	630	80	732	0.84	2689	670	80	619		1,247	810	27	566												
28/1/2022	3056	630	80	732	0.84	2558	670	80	619		976	530	131	462												
29/1/2022	3079	220		254	0.16	2427			236		777			244												
30/1/2022	3112			254	0.16	2663			236		1,021			174												
31/1/2022	3366	300	40	254	0.16	2899	335	40	236		1,195	411	-45	389												
1/2/2022	3279					2760					1,218			142												
2/2/2022											1,360			196												
3/2/2022											1,556	680	7	547												
4/2/2022											1,416	553	201	585												
5/2/2022											1,247			275												
6/2/2022											1,522			275												
7/2/2022											1,797	684	45	686												
8/2/2022											1,754	626	90	646												
9/2/2022											1,684	673	178	621												
10/2/2022											1,454	690	105	530												
11/2/2022											1,189	623	178	568												
12/2/2022											956	0		273												
13/2/2022											1,229	0		225												
14/2/2022											1,454	521	13	525												
15/2/2022											1,445	593	211	548												
16/2/2022											1,189	642	118	608												
17/2/2022											1,037	608	73	681												
18/2/2022											1,037	477	49	599												
19/2/2022											1,110	19		330												
20/2/2022											1,421	0		312												
21/2/2022											1,733	614	99	767												
22/2/2022											1,787	549	160	722												
23/2/2022											1,800	651	48	638												
24/2/2022											1,739	690	268	591												
25/2/2022											1,372	642	41	561												
26/2/2022											1,250			293												
27/2/2022											1,543			243												
28/2/2022											1,786	673	124	633												
1/3/2022											1,622	659	0	655												
2/3/2022											1,618	740	191	719												
3/3/2022											1,406	681	87	695												
4/3/2022											1,333	609	124	619												
5/3/2022											1,219			275												
6/3/2022											1,494			275												
7/3/2022											1,769	530	-39	670												
8/3/2022											1,948	645	183	675												
9/3/2022											1,795	659	122	650												
10/3/2022											1,664	564	170	605												
11/3/2022											1,535	515	65	588												
12/3/2022											1,543			249												
13/3/2022											1,792			260												
14/3/2022											2,052	575	175	656												
15/3/2022											1,958	562	73	664												
16/3/2022											1,987	719	200	631												
17/3/2022											1,699	581	102	647												
18/3/2022											1,663	529	101	582												
19/3/2022											1,615			244												
20/3/2022											1,859			247												
21/3/2022											2,106	571	182	693												
22/3/2022											2,046	551	188	598												
23/3/2022											1,905	691	108	597												
24/3/2022											1,703	599	153	571												
25/3/2022											1,522	479	123	638												
26/3/2022											1,558	0		260												
27/3/2022											1,818	0		238												
28/3/2022											2,056	526	192	600												
29/3/2022											1,938	572	185	584												
30/3/2022											1,765	656	166	642												
31/3/2022											1,585	510	84	569												
1/4/2022											1,560	544	223	565												
2/4/2022											1,358	0		218												
3/4/2022											1,576	0		296												
4/4/2022											1,872	625	99	627												
5/4/2022											1,775	563	173	653												
6/4/2022											1,692	608	6	641												
7/4/2022											1,719	589	1	640												
8/4/2022											1,769	549	222	567												
9/4/2022											1,565	0		230												
10/4/2022											1,795	0		298												
11/4/2022											2,093	563	73	652												
12/4/2022											2,109	600	155	577												
13/4/2022											1,931	606	161	548												
14/4/2022											1,712	501	160	566												
15/4/2022											1,617	1		239												
16/4/2022											1,855	11		209												
17/4/2022											2,053	0		258												
18/4/2022											2,311	546	-11	567												
19/4/2022											2,343	570	246	595												
20/4/2022											2,122	691	184	633												
21/4/2022											1,880	504	117	691												
22/4/2022											1,950	516	119	769												
23/4/2022											2,084	0		315												
24/4/2022											2,399	0		223												
25/4/2022											2,622	756	-832	648												
26/4/2022											3,346	1113	165	657												
27/4/2022											2,725	1146	150	624												
28/4/2022											2,053	654	156	559												
29/4/2022											1,802	503		489												
30/4/2022											1,788			191												
1/5/2022											1,979			152												
2/5/2022											2,131	21	196	217												
3/5/2022											2,131	48	260	205												
4/5/2022											2,028	624	-140	548												
5/5/2022											2,092	595	217	642												
6/5/2022											1,922	516	242	624												
7/5/2022											1,788	6		217												
8/5/2022											1,999	2		182												
9/5/2022											2,179	622	54	551												
10/5/2022											2,054	652	222	572												
11/5/2022											1,752	665	173	571												
12/5/2022											1,485	599	153	535												
13/5/2022											1,268	499	163	475												
14/5/2022											1,081	7		238												
15/5/2022											1,312	8		187												
16/5/2022											1,491	0		247												
17/5/2022											1,738	549	13	568												
18/5/2022											1,744	574	501	549												
19/5/2022											1,218	575	-136	545												
20/5/2022											1,324	557	158	492												
21/5/2022											1,101	4		270												
22/5/2022											1,367	0		235												
23/5/2022											1,602	551	51	591												
24/5/2022											1,591	526	171	588												
25/5/2022											1,482	541	233	603												
26/5/2022											1,311	530	171	541												
27/5/2022											1,151	463	140	537												
28/5/2022											1,085			234												
29/5/2022											1,319			203												
30/5/2022											1,522	487	115	578												
31/5/2022											1,498	560	153	552												
1/6/2022											1,337	539	124	517												
