		Forecast					V1						V2											
Date	Open Balances	Closed	Avg discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Date	Open Balances	Closed	Discrep	New Cases									
1/1/2022	1366	220		254	0.84	1963			468		1/1/2022	1,963			468									
2/1/2022	1400			254	0.84	2431			503		2/1/2022	2,431			503		Row Labels	Sum of Closed	Sum of Discrep	Sum of Open Balances	Sum of New Cases			
3/1/2022	1653	630	80	732	0.84	2934	857	143	1212		3/1/2022	2,934	857	143	1212		1/1/2022			1,963	468			
4/1/2022	1676	630	80	732	0.84	3146	727	90	1039		4/1/2022	3,146	727	90	1039		2/1/2022			2,431	503			
5/1/2022	1698	630	80	732	0.84	3368	949	86	826		5/1/2022	3,368	949	86	826		3/1/2022	857	143	2,934	1212			
6/1/2022	1720	630	80	732	0.84	3159	942	153	828		6/1/2022	3,159	942	153	828		4/1/2022	727	90	3,146	1039			
7/1/2022	1742	630	80	732	0.84	2892	769	140	750		7/1/2022	2,892	769	140	750		5/1/2022	949	86	3,368	826			
8/1/2022	1764	160		254	0.16	2733			335		8/1/2022	2,733			335		6/1/2022	942	153	3,159	828			1460
9/1/2022	1858			254	0.16	3068			326		9/1/2022	3,068			326		7/1/2022	769	140	2,892	750			
10/1/2022	2112	630	80	732	0.84	3394	767	138	824		10/1/2022	3,394	767	138	824		8/1/2022			2,733	335			
11/1/2022	2134	630	80	732	0.84	3313	670	80	619		11/1/2022	3,313	856	108	746		9/1/2022			3,068	326			
12/1/2022	2156	630	80	732	0.84	3182	670	80	619		12/1/2022	3,095	831	208	708		10/1/2022	767	138	3,394	824			
13/1/2022	2178	630	80	732	0.84	3052	670	80	619		13/1/2022	2,764	658	91	658		11/1/2022	856	108	3,313	746			
14/1/2022	2200	630	80	732	0.84	2921	670	80	619		14/1/2022	2,545	680	380	654		12/1/2022	831	208	3,095	708			
15/1/2022	2222	220		254	0.16	2790			236		15/1/2022	2,139	11		326		13/1/2022	658	91	2,764	658			
16/1/2022	2256			254	0.16	3026			236		16/1/2022	2,454			268		14/1/2022	680	380	2,545	654			
17/1/2022	2510	630	80	732	0.84	3262	670	80	619		17/1/2022	2,722	766	-157	661		15/1/2022	11		2,139	326			
18/1/2022	2532	630	80	732	0.84	3131	670	80	619		18/1/2022	2,774	772	243	700		16/1/2022			2,454	268			
19/1/2022	2554	630	80	732	0.84	3001	670	80	619		19/1/2022	2,459	750	206	789		17/1/2022	766	-157	2,722	661			
20/1/2022	2576	630	80	732	0.84	2870	670	80	619		20/1/2022	2,292	786	86	691		18/1/2022	772	243	2,774	700			
21/1/2022	2598	630	80	732	0.84	2739	670	80	619		21/1/2022	2,111	651	275	606		19/1/2022	750	206	2,459	789			
22/1/2022	2621	160		254	0.16	2609			236		22/1/2022	1,791			276		20/1/2022	786	86	2,292	691			
23/1/2022	2714			254	0.16	2845			236		23/1/2022	2,067			230		21/1/2022	651	275	2,111	606			
24/1/2022	2968	630	80	732	0.84	3081	670	80	619		24/1/2022	2,297	675	128	589		22/1/2022			1,791	276			
25/1/2022	2990	630	80	732	0.84	2950	670	80	619		25/1/2022	2,083	770	-3	607		23/1/2022			2,067	230			
26/1/2022	3012	630	80	732	0.84	2819	670	80	619		26/1/2022	1,923	883	364	571		24/1/2022	675	128	2,297	589			
27/1/2022	3034	630	80	732	0.84	2689	670	80	619		27/1/2022	1,247	810	27	566		25/1/2022	770	-3	2,083	607			
28/1/2022	3056	630	80	732	0.84	2558	670	80	619		28/1/2022	976	530	131	462		26/1/2022	883	364	1,923	571			
29/1/2022	3079	220		254	0.16	2427			236		29/1/2022	777			244		27/1/2022	810	27	1,247	566			
30/1/2022	3112			254	0.16	2663			236		30/1/2022	1,021			174		28/1/2022	530	131	976	462			
31/1/2022	3366	300	40	254	0.16	2899	335	40	236		31/1/2022	1,195	411	-45	389		29/1/2022			777	244			
1/2/2022	3279					2760					1/2/2022	1,218			142		30/1/2022			1,021	174			
2/2/2022											2/2/2022	1,360			196		31/1/2022	411	-45	1,195	389			
3/2/2022											3/2/2022	1,556	680	7	547		1/2/2022			1,218	142			
4/2/2022											4/2/2022	1,416	553	201	585		2/2/2022			1,360	196			
